country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Guyana,no,no,0.79,27.48,4,215,26.6,0.87,NA,3.79520268281347,NA,5174,6610,0.596,6.25,45.1,0.695,
Haiti,no,no,11.54,32.11,418.8,28,55.3,0.75,0.00404732696623417,4.29334977105548,NA,8051,715,0.433,3.48,41.1,0.105,
Holy See,no,yes,0,NA,1845.5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(Permanent Observer State)
Honduras,no,no,10.06,30.11,89.9,112,57.1,0.87,0.0107649608389971,4.46749153441871,NA,25095,2575,0.502,5.1,48.2,0.229,
Hungary,no,yes,9.63,14.45,106.4,93,71.4,0.38,0.12646104002032,2.36188228680656,80,163469,16879,0.815,6.5,30.0,0.232,
Iceland,yes,yes,0.34,19.15,3.4,103,93.8,0.33,0.0244650549022747,NA,NA,24188,71345,0.912,9.18,26.1,NA,
India,no,no,1393.41,25.78,468.7,3287,34,0.84,0.0731324528154625,4.57218899216434,48,2891582,2116,0.556,6.91,35.7,NA,
Indonesia,no,no,276.36,25.62,152.6,1911,55.3,0.99,0.076429999163467,3.85945273578042,14,1119191,4136,0.622,6.71,37.9,0.803,
Iran (Islamic Republic of),no,no,85.03,24.84,52.2,1629,74.9,0.79,0.0462917298659748,3.50615563899278,41,603780,7282,0.741,1.95,40.9,0.743,
Iraq,no,no,41.18,37.3,94.8,435,70.5,0.87,0,7.70302801425421,NA,225232,5730,0.534,3.51,29.5,0.446,
Ireland,yes,yes,4.98,20.47,72.3,70,63.2,0.55,0.347499945536436,2.72662748578172,70,398590,81637,0.918,9,30.6,0.174,
Isle of Man,yes,yes,0.09,NA,149.8,1,52.6,NA,NA,2.28392472667282,NA,NA,NA,NA,NA,NA,NA,United Kingdom
Israel,no,no,8.79,27.72,406.2,22,92.4,0.48,0.108404078731832,3.14194539238823,54,395099,46376,0.874,7.97,38.6,0.376,
Italy,no,yes,60.37,12.79,205.2,302,70.4,0.55,0.219697747382092,2.40259252424227,76,2003576,33090,0.791,7.68,35.2,0.11,
Jamaica,no,no,2.97,23.15,274.6,11,55.7,0.88,0.0106616613143884,3.06092285168149,39,15831,5369,0.69,7.13,45.5,0.21,
Japan,no,no,126.05,12.3,345.8,378,91.6,0.23,0.324759809041243,2.33062334276867,46,5082466,40063,0.848,8.15,32.9,0.019,
Jordan,no,no,10.27,32.1,115.7,89,91,0.96,0.0264829390386999,4.71876280946192,NA,44503,4405,0.711,3.49,33.7,0.044,
Kazakhstan,no,no,19,29.18,7,2725,57.4,0.44,0.0371248747759644,3.49662788873433,NA,181667,9793,0.814,3.08,27.8,0.538,
Kenya,no,no,54.99,37.99,96.6,592,27,0.95,0.0101169174387998,3.63882380648678,NA,95502,1817,0.551,5.05,40.8,0.855,
Kiribati,no,no,0.12,35.83,149.9,143,54.1,NA,NA,NA,NA,195,1657,0.62,NA,27.8,NA,
Kuwait,no,no,4.33,21.15,242.9,18,100,0.97,0.0333799644672169,NA,NA,134624,31999,0.62,3.91,NA,0.765,
Kyrgyzstan,no,no,6.63,32.56,34.6,200,36.4,0.77,0.00621620388447985,4.21447820303052,NA,8455,1318,0.735,3.62,29.0,0.487,
Lao People's Dem. Rep.,no,no,7.38,31.62,32,237,35,0.88,0.0100724120778234,5.76530408354279,NA,18823,2625,0.484,1.77,38.8,0.634,Abbreviation
Latvia,yes,yes,1.87,16.77,30,65,68.1,0.37,0.0450220517344984,2.37726020355352,70,34103,17885,0.866,7.31,34.5,0.547,
Lebanon,no,no,6.77,24.47,661.7,10,88.6,0.83,0.0134659775085692,NA,NA,53367,7784,0.637,3.84,31.8,0.133,
Lesotho,no,no,2.16,32.14,71.1,30,28.2,0.95,NA,3.34493465723311,NA,2460,1158,0.502,6.3,44.9,0.313,
Liberia,no,no,5.18,40.03,53.8,111,51.2,0.96,NA,4.94573145418242,NA,2582,523,0.434,5.43,35.3,0.889,
Libya,no,no,6.96,27.4,4,1676,80.1,0.97,0.00504852617224716,NA,NA,32600,4810,0.616,1.95,NA,0.259,
Liechtenstein,yes,yes,0.04,NA,239.1,0,14.3,NA,NA,2.32024833473453,NA,6798,178799,0.827,NA,NA,NA,
Lithuania,yes,yes,2.69,15.56,42.9,65,67.7,0.39,0.0772844428439229,2.38252653639661,60,54627,19795,0.879,7.18,35.3,0.284,
Luxembourg,yes,yes,0.63,15.6,245.1,3,91,0.36,0.0600824624045523,2.4130606765277,60,71105,115481,0.792,8.68,34.2,NA,
Madagascar,no,no,28.43,39.82,48.9,587,37.2,0.9,0.00326491462485763,4.94926350622938,NA,14105,523,0.498,5.7,42.6,0.194,
Malawi,no,no,19.65,42.51,208.4,118,16.9,0.98,0.0024736617406887,4.50891809012562,NA,8099,435,0.451,5.74,38.5,0.791,
Malaysia,no,no,32.78,23.27,99.8,331,76,0.83,0.15089516046216,4.57438144364422,26,364684,11414,0.719,7.24,41.1,0.57,
Maldives,no,no,0.54,19.87,1812.1,0,39.8,NA,0.00156755908382614,5.39992241878289,NA,5642,10626,0.56,NA,29.3,NA,
Mali,no,no,20.86,46.73,17.1,1240,42.4,0.96,NA,5.81114539185664,NA,17433,887,0.293,3.48,36.1,0.852,
Malta,no,yes,0.44,14.42,1383.7,2,94.6,0.79,0.0288789137857054,2.67215547333604,59,14864,33752,0.818,7.57,31.0,NA,
Marshall Islands,no,no,0.06,NA,331.2,0,77,NA,NA,NA,NA,237,4038,0.723,NA,35.5,NA,
Martinique,no,no,0.37,NA,353.5,1,89,NA,NA,2.24845954611123,NA,NA,NA,NA,NA,NA,NA,France
Mauritania,no,no,4.78,39.5,4.6,1031,53.7,0.9,NA,NA,NA,7594,1678,0.389,4.03,32.6,0.713,
Mauritius,no,no,1.27,16.4,627.3,246,40.8,0.89,0.015822221817254,3.47529761733847,NA,14180,11169,0.729,8.08,36.8,0.466,
Mayotte,no,no,0.28,NA,745.4,NA,46.1,NA,NA,4.10216586217368,NA,NA,NA,NA,NA,NA,NA,France
Mexico,no,no,130.26,25.49,67,1964,80.2,0.69,0.151558097703553,3.74017497083236,30,1256441,9849,0.678,5.57,45.4,0.587,
Micronesia (Fed. States of),no,no,0.12,30.97,166.1,1,22.7,NA,NA,NA,NA,414,3640,0.59,NA,40.1,NA,Abbreviation
Monaco,yes,yes,0.04,NA,26523.5,0,100,NA,NA,NA,NA,7424,190532,NA,NA,NA,NA,
Mongolia,no,no,3.33,31.2,2.1,1564,68.4,0.44,0.0128752545169521,4.32143522139053,NA,13853,4295,0.766,6.42,32.7,0.315,
Montenegro,no,yes,0.63,17.97,46.7,14,66.8,0.5,0.0058242813677678,3.21401150633056,NA,5542,8825,0.79,6.02,36.8,NA,
Montserrat,no,no,0.01,NA,49.8,0,9.1,NA,NA,NA,NA,67,13487,NA,NA,NA,NA,
Morocco,no,no,37.34,26.48,83.7,447,62.5,0.95,0.0383879460721007,5.2361663882699,46,119701,3282,0.529,5.04,39.5,0.566,
Mozambique,no,no,32.16,43.8,40.9,799,36,0.96,0.00313015784033455,4.36636284544404,NA,15297,504,0.385,3.51,54.0,NA,
Myanmar,no,no,54.81,NA,83.9,677,30.6,0.89,0.0206159053553393,4.22379426809677,NA,76785,1421,0.443,1.02,30.7,0.59,
Namibia,no,no,2.59,36.68,3.1,824,50,0.88,0.0118009182421033,4.2382239682248,NA,12366,4957,0.571,6.52,59.1,0.76,
Nauru,no,no,0.01,NA,543.7,0,100,NA,NA,NA,NA,133,12351,NA,NA,34.8,NA,
Nepal,no,no,29.67,28.07,207,147,19.7,0.95,0.00397078626571871,4.23936444257142,NA,30715,1074,0.502,4.41,32.8,0.86,
Netherlands,yes,yes,17.17,15.55,509.3,42,91.5,0.29,0.241249019818121,2.22639156224361,80,907051,53053,0.906,8.88,29.2,0.354,
New Caledonia,no,no,0.29,21.75,15.8,19,70.7,NA,NA,NA,NA,9880,34942,NA,NA,NA,NA,
