country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Slovakia,no,yes,5.46,15.59,113.6,49,53.7,0.47,0.12307765192365,2.89586273531529,52,NA,NA,0.831,7.03,23.2,0.241,
Slovenia,no,yes,2.08,15.11,103.2,20,54.5,0.39,0.105165968803617,2.46740138518368,27,NA,NA,0.886,7.54,24.4,0.258,
Solomon Islands,no,no,0.7,39.89,25.2,29,23.7,NA,NA,NA,NA,NA,NA,0.469,NA,37.1,0.097,
Somalia,no,no,16.36,45.98,26.1,638,45,0.97,NA,NA,NA,NA,NA,NA,NA,36.8,0.222,
South Africa,no,no,60.04,28.59,49.5,1221,66.4,0.84,0.0491635453721281,3.36220315919585,NA,NA,NA,0.708,7.05,63.0,0.856,
South Sudan,no,no,11.38,39.46,18.6,659,19.6,0.94,NA,5.9479727880003,NA,4960,448,0.297,NA,44.1,NA,
Spain,no,yes,46.75,14.22,93.7,506,80.3,0.3,0.149341036653661,2.57551003141505,51,1393491,29816,0.824,7.94,34.3,0.669,
Sri Lanka,no,no,21.5,23.43,342.8,66,18.5,0.98,0.0254989218037047,NA,NA,84009,3940,0.749,6.14,39.3,0.323,
State of Palestine,no,no,5.22,37.95,867.6,6,76.2,0.97,0.00922674578043714,5.88706697459584,NA,17059,3424,0.66,3.94,NA,NA,Permnanent Observer
Sudan,no,no,44.91,39.46,25.4,NA,34.6,0.68,NA,5.59037592812814,NA,34895,815,0.328,2.47,34.2,0.746,
Suriname,no,no,0.59,26.41,3.8,164,66.1,0.79,0.0093274668939306,3.94080817734868,47,3697,6360,0.636,6.82,57.9,NA,
Sweden,yes,yes,10.16,17.66,24.8,439,87.4,0.18,0.178559032695354,NA,71,530884,52896,0.904,9.26,29.3,0.219,
